title,production_cost,domestic_gross,worldwide_gross,opening_weekend,genre,Movie_Title,Director,Actors,Total_Gross,main_genre
The Aviator,110000000,102608827,208370892,858021.0,Drama,The Aviator,Martin Scorsese,"Leonardo DiCaprio, Cate Blanchett, Kate Beckinsale, John C. Reilly",$102.61M,Biography
Passengers,110000000,100014699,302239672,14869736.0,Thriller/Suspense,Passengers,Rodrigo García,"Anne Hathaway, Patrick Wilson, David Morse, Andre Braugher",$0.27M,Mystery
Passengers,110000000,100014699,302239672,14869736.0,Thriller/Suspense,Passengers,Morten Tyldum,"Jennifer Lawrence, Chris Pratt, Michael Sheen, Laurence Fishburne",$100.01M,Drama
The Green Hornet,110000000,98780042,229155503,33526876.0,Action,The Green Hornet,Michel Gondry,"Seth Rogen, Jay Chou, Christoph Waltz, Cameron Diaz",$98.78M,Action
Real Steel,110000000,85463309,263880341,27319677.0,Action,Real Steel,Shawn Levy,"Hugh Jackman, Evangeline Lilly, Dakota Goyo, Anthony Mackie",$85.47M,Action
Men in Black: International,110000000,80001807,253020464,30035838.0,Adventure,Men in Black: International,F. Gary Gray,"Chris Hemsworth, Tessa Thompson, Kumail Nanjiani, Rebecca Ferguson",$80.00M,Action
The A-Team,110000000,77222099,177241171,25669455.0,Action,The A-Team,Joe Carnahan,"Liam Neeson, Bradley Cooper, Sharlto Copley, Jessica Biel",$77.22M,Action
The Smurfs 2,110000000,71017784,348547523,17548389.0,Adventure,The Smurfs 2,Raja Gosnell,"Neil Patrick Harris, Jayma Mays, Katy Perry, Hank Azaria",$71.02M,Animation
The Taking of Pelham 123,110000000,65452312,152364370,23373102.0,Action,The Taking of Pelham 123,Tony Scott,"Denzel Washington, John Travolta, Luis Guzmán, Victor Gojcaj",$65.45M,Action
Ender's Game,110000000,61737191,127983283,27017351.0,Adventure,Ender's Game,Gavin Hood,"Harrison Ford, Asa Butterfield, Hailee Steinfeld, Abigail Breslin",$61.74M,Action
Speed 2: Cruise Control,110000000,48097081,150468000,16158942.0,Action,Speed 2: Cruise Control,Jan de Bont,"Sandra Bullock, Jason Patric, Willem Dafoe, Temuera Morrison",$48.61M,Action
Kingdom of Heaven,110000000,47398413,218674938,19635996.0,Action,Kingdom of Heaven,Ridley Scott,"Orlando Bloom, Eva Green, Liam Neeson, Martin Hancock",$47.40M,Action
Ghost in the Shell,110000000,40563557,167910690,18676033.0,Action,Ghost in the Shell,Rupert Sanders,"Scarlett Johansson, Pilou Asbæk, Takeshi Kitano, Juliette Binoche",$40.56M,Action
Around the World in 80 Days,110000000,24004159,72004159,7576132.0,Adventure,Around the World in 80 Days,Frank Coraci,"Jackie Chan, Steve Coogan, Jim Broadbent, Kathy Bates",$24.01M,Action
Around the World in 80 Days,110000000,24004159,72004159,7576132.0,Adventure,Around the World in 80 Days,"Directors:Michael Anderson, John Farrow","David Niven, Cantinflas, Finlay Currie, Robert Morley",$42.00M,Adventure
Ali,109000000,58183966,87683966,14710892.0,Drama,Ali,Michael Mann,"Will Smith, Jamie Foxx, Jon Voight, Mario Van Peebles",$58.20M,Biography
The Martian,108000000,228433663,653609107,54308575.0,Thriller/Suspense,The Martian,Ridley Scott,"Matt Damon, Jessica Chastain, Kristen Wiig, Kate Mara",$228.43M,Adventure
Allied,106000000,40098064,119266661,12701743.0,Drama,Allied,Robert Zemeckis,"Brad Pitt, Marion Cotillard, Jared Harris, Vincent Ebrahim",$40.10M,Action
"I, Robot",105000000,144801023,348629585,52179887.0,Action,"I, Robot",Alex Proyas,"Will Smith, Bridget Moynahan, Bruce Greenwood, Alan Tudyk",$144.80M,Action
Stuart Little,105000000,140015224,298815224,15018223.0,Adventure,Stuart Little,Rob Minkoff,"Michael J. Fox, Geena Davis, Hugh Laurie, Jonathan Lipnicki",$140.04M,Adventure
The Princess and the Frog,105000000,104400899,270997378,786190.0,Adventure,The Princess and the Frog,"Directors:Ron Clements, John Musker","Anika Noni Rose, Keith David, Oprah Winfrey, Bruno Campos",$104.40M,Animation
Ice Age: Collision Course,105000000,64063008,402156682,21373064.0,Adventure,Ice Age: Collision Course,"Directors:Michael Thurmeier, Galen T. Chu","Ray Romano, Denis Leary, John Leguizamo, Chris Wedge",$64.06M,Animation
Starship Troopers,105000000,54768952,121100000,22058773.0,Action,Starship Troopers,Paul Verhoeven,"Casper Van Dien, Denise Richards, Dina Meyer, Jake Busey",$54.81M,Action
Kingsman: The Golden Circle,104000000,100234838,408803696,39023010.0,Action,Kingsman: The Golden Circle,Matthew Vaughn,"Taron Egerton, Colin Firth, Mark Strong, Channing Tatum",$100.23M,Action
Gladiator,103000000,187683805,456435588,34819017.0,Action,Gladiator,Ridley Scott,"Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed",$187.71M,Action
Public Enemies,102500000,97104620,212282709,25271675.0,Drama,Public Enemies,Michael Mann,"Christian Bale, Johnny Depp, Christian Stolte, Jason Clarke",$97.10M,Action
Casino Royale,102000000,167365000,594420283,40833156.0,Action,Casino Royale,Martin Campbell,"Daniel Craig, Eva Green, Judi Dench, Jeffrey Wright",$167.45M,Action
Casino Royale,102000000,167365000,594420283,40833156.0,Action,Casino Royale,"Directors:Val Guest, Ken Hughes, John Huston, Joseph McGrath, Robert Parrish, Richard Talmadge","David Niven, Peter Sellers, Ursula Andress, Orson Welles",Gross Unkown,Comedy
Minority Report,102000000,132024714,358824714,35677125.0,Action,Minority Report,Steven Spielberg,"Tom Cruise, Colin Farrell, Samantha Morton, Max von Sydow",$132.07M,Action
Bumblebee,102000000,127195589,465195589,21654047.0,Adventure,Bumblebee,Travis Knight,"Hailee Steinfeld, Jorge Lendeborg Jr., John Cena, Jason Drucker",$127.20M,Action
Cloud Atlas,102000000,27108272,130673154,9612247.0,Drama,Cloud Atlas,"Directors:Tom Tykwer, Lana Wachowski, Lilly Wachowski","Tom Hanks, Halle Berry, Hugh Grant, Hugo Weaving",$27.11M,Drama
Harry Potter and the Chamber of Secrets,100000000,262233381,875262553,88357488.0,Adventure,Harry Potter and the Chamber of Secrets,Chris Columbus,"Daniel Radcliffe, Rupert Grint, Emma Watson, Richard Harris",$261.99M,Adventure
Terminator 2: Judgment Day,100000000,203464105,515376182,31765506.0,Action,Terminator 2: Judgment Day,James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick",$204.84M,Action
Batman Forever,100000000,184031112,336529144,52784433.0,Action,Batman Forever,Joel Schumacher,"Val Kilmer, Tommy Lee Jones, Jim Carrey, Nicole Kidman",$184.03M,Action
Planet of the Apes,100000000,180011740,362211740,68532960.0,Adventure,Planet of the Apes,Tim Burton,"Mark Wahlberg, Helena Bonham Carter, Tim Roth, Michael Clarke Duncan",$180.01M,Action
National Treasure,100000000,173005002,331323410,35142554.0,Adventure,National Treasure,Jon Turteltaub,"Nicolas Cage, Diane Kruger, Justin Bartha, Sean Bean",$173.01M,Action
Django Unchained,100000000,162805434,449841566,30122888.0,Western,Django Unchained,Quentin Tarantino,"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Kerry Washington",$162.81M,Drama
1917,100000000,159227644,370603379,576216.0,Thriller/Suspense,1917,Sam Mendes,"Dean-Charles Chapman, George MacKay, Daniel Mays, Colin Firth",$159.23M,Action
Little Fockers,100000000,148438600,310650574,30833665.0,Comedy,Little Fockers,Paul Weitz,"Ben Stiller, Teri Polo, Robert De Niro, Owen Wilson",$148.38M,Comedy
True Lies,100000000,146282411,365300000,25869770.0,Action,True Lies,James Cameron,"Arnold Schwarzenegger, Jamie Lee Curtis, Tom Arnold, Bill Paxton",$146.28M,Action
American Gangster,100000000,130164645,267985456,43565135.0,Drama,American Gangster,Ridley Scott,"Denzel Washington, Russell Crowe, Chiwetel Ejiofor, Josh Brolin",$130.16M,Biography
Cloudy with a Chance of Meatballs,100000000,124870275,236827677,30304648.0,Adventure,Cloudy with a Chance of Meatballs,"Directors:Phil Lord, Christopher Miller","Anna Faris, Bill Hader, Bruce Campbell, James Caan",$124.87M,Animation
The Other Guys,100000000,119219978,170936470,35543162.0,Comedy,The Other Guys,Adam McKay,"Will Ferrell, Mark Wahlberg, Derek Jeter, Eva Mendes",$119.22M,Action
The Wolf of Wall Street,100000000,116949183,389918903,18410067.0,Black Comedy,The Wolf of Wall Street,Martin Scorsese,"Leonardo DiCaprio, Jonah Hill, Margot Robbie, Matthew McConaughey",$116.90M,Biography
Epic,100000000,107518682,262794441,33531068.0,Adventure,Epic,Chris Wedge,"Amanda Seyfried, Josh Hutcherson, Beyoncé, Colin Farrell",$107.52M,Animation
Eraser,100000000,101295562,234400000,24566446.0,Action,Eraser,Chuck Russell,"Arnold Schwarzenegger, Vanessa Williams, James Caan, James Coburn",$101.30M,Action
The Hunchback of Notre Dame,100000000,100138851,325500000,21037414.0,Adventure,The Hunchback of Notre Dame,"Directors:Gary Trousdale, Kirk Wise","Demi Moore, Jason Alexander, Mary Kay Bergman, Corey Burton",$100.14M,Animation
The Emperor's New Groove,100000000,89630573,169630573,9812302.0,Adventure,The Emperor's New Groove,Mark Dindal,"David Spade, John Goodman, Eartha Kitt, Patrick Warburton",$89.30M,Animation
The Expendables 2,100000000,85028192,311979256,28591370.0,Action,The Expendables 2,Simon West,"Sylvester Stallone, Liam Hemsworth, Randy Couture, Jean-Claude Van Damme",$85.02M,Action
Where the Wild Things Are,100000000,77233467,99123656,32695407.0,Adventure,Where the Wild Things Are,Spike Jonze,"Max Records, Catherine O'Hara, Forest Whitaker, Pepita Emmerichs",$77.23M,Adventure
Hercules,100000000,72688614,243388614,29800263.0,Adventure,Hercules,Brett Ratner,"Dwayne Johnson, John Hurt, Ian McShane, Joseph Fiennes",$72.69M,Action
Hercules,100000000,72688614,243388614,29800263.0,Adventure,Hercules,"Directors:Ron Clements, John Musker","Tate Donovan, Susan Egan, James Woods, Barbara Barrie",$99.05M,Animation
The Tourist,100000000,67631157,278731369,16472458.0,Thriller/Suspense,The Tourist,Florian Henckel von Donnersmarck,"Johnny Depp, Angelina Jolie, Paul Bettany, Timothy Dalton",$67.63M,Action
End of Days,100000000,66889043,212026975,20523595.0,Action,End of Days,Peter Hyams,"Arnold Schwarzenegger, Gabriel Byrne, Robin Tunney, Kevin Pollak",$66.89M,Action
Spies in Disguise,100000000,66757013,165138481,13354798.0,Adventure,Spies in Disguise,"Directors:Nick Bruno, Troy Quane","Rachel Brosnahan, Jarrett Bruno, Claire Crosby, Toru Uchikado",$66.76M,Animation
The Stepford Wives,100000000,59475623,96150482,21406781.0,Black Comedy,The Stepford Wives,Frank Oz,"Nicole Kidman, Bette Midler, Matthew Broderick, Glenn Close",$59.48M,Comedy
Blood Diamond,100000000,57377916,171377916,8648324.0,Action,Blood Diamond,Edward Zwick,"Leonardo DiCaprio, Djimon Hounsou, Jennifer Connelly, Kagiso Kuypers",$57.37M,Adventure
Midway,100000000,56846802,126829063,17897419.0,Action,Midway,Roland Emmerich,"Ed Skrein, Patrick Wilson, Woody Harrelson, Luke Evans",$56.85M,Action
Legend of the Guardians: The Owls of Ga'Hoole,100000000,55675313,139716717,16112211.0,Adventure,Legend of the Guardians: The Owls of Ga'Hoole,Zack Snyder,"Jim Sturgess, Hugo Weaving, David Wenham, Emily Barclay",$55.68M,Animation
Land of the Lost,100000000,49438370,69548641,18837350.0,Comedy,Land of the Lost,Brad Silberling,"Will Ferrell, Danny McBride, Anna Friel, Jorma Taccone",$49.44M,Action
Peter Pan,100000000,48417850,95255485,11139495.0,Adventure,Peter Pan,"Directors:Clyde Geronimi, Wilfred Jackson, Hamilton Luske, Jack Kinney","Bobby Driscoll, Kathryn Beaumont, Hans Conried, Bill Thompson",$87.40M,Animation
Catwoman,100000000,40202379,82078046,16728411.0,Action,Catwoman,Pitof,"Halle Berry, Sharon Stone, Benjamin Bratt, Lambert Wilson",$40.20M,Action
The Expendables 3,100000000,39322544,209461378,15879645.0,Action,The Expendables 3,Patrick Hughes,"Sylvester Stallone, Jason Statham, Jet Li, Antonio Banderas",$39.32M,Action
West Side Story,100000000,38530322,75011257,10574618.0,Musical,West Side Story,"Directors:Jerome Robbins, Robert Wise","Natalie Wood, George Chakiris, Richard Beymer, Russ Tamblyn",$43.66M,Crime
West Side Story,100000000,38530322,75011257,10574618.0,Musical,West Side Story,Steven Spielberg,"Ansel Elgort, Rachel Zegler, Ariana DeBose, David Alvarez",Gross Unkown,Crime
Treasure Planet,100000000,38120554,91800000,12083248.0,Adventure,Treasure Planet,"Directors:Ron Clements, John Musker","Joseph Gordon-Levitt, Emma Thompson, Martin Short, Roscoe Lee Browne",$38.18M,Animation
Green Zone,100000000,35497337,97523020,14309295.0,Drama,Green Zone,Paul Greengrass,"Matt Damon, Jason Isaacs, Greg Kinnear, Igal Naor",$35.05M,Action
Geostorm,100000000,33700160,220796009,13707376.0,Thriller/Suspense,Geostorm,Dean Devlin,"Gerard Butler, Jim Sturgess, Abbie Cornish, Alexandra Maria Lara",$33.70M,Action
Point Break,100000000,28782481,126704591,9800252.0,Action,Point Break,Kathryn Bigelow,"Patrick Swayze, Keanu Reeves, Gary Busey, Lori Petty",$43.22M,Action
Point Break,100000000,28782481,126704591,9800252.0,Action,Point Break,Ericson Core,"Edgar Ramírez, Luke Bracey, Ray Winstone, Teresa Palmer",$28.78M,Action
Cats,100000000,27166770,75558925,6619870.0,Musical,Cats,Tom Hooper,"James Corden, Judi Dench, Jason Derulo, Idris Elba",Gross Unkown,Comedy
In the Heart of the Sea,100000000,25020758,89693309,11053366.0,Adventure,In the Heart of the Sea,Ron Howard,"Chris Hemsworth, Cillian Murphy, Brendan Gleeson, Ben Whishaw",$25.02M,Action
Transcendence,100000000,23022309,103039258,10886386.0,Thriller/Suspense,Transcendence,Wally Pfister,"Johnny Depp, Rebecca Hall, Morgan Freeman, Cillian Murphy",$23.02M,Action
Son of the Mask,100000000,17018422,59918422,7511675.0,Adventure,Son of the Mask,Lawrence Guterman,"Jamie Kennedy, Traylor Howard, Alan Cumming, Liam Falconer",$17.02M,Comedy
Mortal Engines,100000000,15951040,85480271,7559850.0,Action,Mortal Engines,Christian Rivers,"Hera Hilmar, Robert Sheehan, Hugo Weaving, Jihae",$15.95M,Action
Chaos Walking,100000000,13287908,27075660,3775350.0,Action,Chaos Walking,Doug Liman,"Tom Holland, Daisy Ridley, Demián Bichir, David Oyelowo",$13.29M,Action
The Last Duel,100000000,10853945,30055233,4759151.0,Drama,The Last Duel,Ridley Scott,"Matt Damon, Adam Driver, Jodie Comer, Harriet Walter",Gross Unkown,Action
The Adventures of Pluto Nash,100000000,4411102,7094995,2182900.0,Comedy,The Adventures of Pluto Nash,Ron Underwood,"Eddie Murphy, Jay Mohr, Randy Quaid, Rosario Dawson",$4.42M,Action
The Midnight Sky,100000000,0,75615,,Adventure,The Midnight Sky,George Clooney,"George Clooney, Felicity Jones, David Oyelowo, Caoilinn Springall",Gross Unkown,Adventure
The Peanuts Movie,99000000,130178411,250091610,44213073.0,Adventure,The Peanuts Movie,Steve Martino,"Noah Schnapp, Bill Melendez, Hadley Belle Miller, Francesca Capaldi",$130.18M,Animation
The Mummy Returns,98000000,202007640,435040395,68139035.0,Adventure,The Mummy Returns,Stephen Sommers,"Brendan Fraser, Rachel Weisz, John Hannah, Arnold Vosloo",$202.02M,Action
Gangs of New York,97000000,77730500,183124621,9496870.0,Drama,Gangs of New York,Martin Scorsese,"Leonardo DiCaprio, Cameron Diaz, Daniel Day-Lewis, Jim Broadbent",$77.81M,Crime
Cinderella,95000000,201151353,542351353,67877361.0,Drama,Cinderella,"Directors:Clyde Geronimi, Wilfred Jackson, Hamilton Luske","Ilene Woods, James MacDonald, Eleanor Audley, Verna Felton",$85.00M,Animation
Cinderella,95000000,201151353,542351353,67877361.0,Drama,Cinderella,Kenneth Branagh,"Lily James, Cate Blanchett, Richard Madden, Helena Bonham Carter",$201.15M,Adventure
Cinderella,95000000,201151353,542351353,67877361.0,Drama,Cinderella,Kay Cannon,"Camila Cabello, Billy Porter, Nicholas Galitzine, Idina Menzel",Gross Unkown,Comedy
Ice Age: Continental Drift,95000000,161321843,879765137,46629259.0,Adventure,Ice Age: Continental Drift,"Directors:Steve Martino, Michael Thurmeier","Ray Romano, Denis Leary, John Leguizamo, Aziz Ansari",$161.32M,Animation
Black Hawk Down,95000000,108638745,159691085,179823.0,Action,Black Hawk Down,Ridley Scott,"Josh Hartnett, Ewan McGregor, Tom Sizemore, Eric Bana",$108.64M,Action
Sex and the City 2,95000000,95347692,294680778,31001870.0,Comedy,Sex and the City 2,Michael Patrick King,"Sarah Jessica Parker, Kim Cattrall, Kristin Davis, Cynthia Nixon",$95.35M,Comedy
The Campaign,95000000,86907746,104907746,26588460.0,Comedy,The Campaign,Jay Roach,"Will Ferrell, Zach Galifianakis, Jason Sudeikis, Dylan McDermott",$86.91M,Comedy
Unstoppable,95000000,81562942,165720921,22688457.0,Action,Unstoppable,Tony Scott,"Denzel Washington, Chris Pine, Rosario Dawson, Ethan Suplee",$81.56M,Action
The Fifth Element,95000000,63570862,263893838,17031345.0,Action,The Fifth Element,Luc Besson,"Bruce Willis, Milla Jovovich, Gary Oldman, Ian Holm",$63.54M,Action
The Road to El Dorado,95000000,50802661,65700000,12846652.0,Adventure,The Road to El Dorado,"Directors:Bibo Bergeron, Don Paul, Jeffrey Katzenberg","Kevin Kline, Kenneth Branagh, Rosie Perez, Armand Assante",$50.86M,Animation
The Lovely Bones,95000000,44114232,94894448,116616.0,Drama,The Lovely Bones,Peter Jackson,"Rachel Weisz, Mark Wahlberg, Saoirse Ronan, Susan Sarandon",$43.82M,Drama
Ben-Hur,95000000,26410477,91669648,11203815.0,Adventure,Ben-Hur,Timur Bekmambetov,"Jack Huston, Toby Kebbell, Rodrigo Santoro, Nazanin Boniadi",$26.41M,Action
Ben-Hur,95000000,26410477,91669648,11203815.0,Adventure,Ben-Hur,William Wyler,"Charlton Heston, Jack Hawkins, Stephen Boyd, Haya Harareet",$74.70M,Adventure
Seventh Son,95000000,17725785,108874967,7217640.0,Adventure,Seventh Son,Sergei Bodrov,"Ben Barnes, Julianne Moore, Jeff Bridges, Alicia Vikander",$17.22M,Action
Finding Nemo,94000000,380529370,936094852,70251710.0,Adventure,Finding Nemo,"Directors:Andrew Stanton, Lee Unkrich","Albert Brooks, Ellen DeGeneres, Alexander Gould, Willem Dafoe",$380.84M,Animation
The Lord of the Rings: The Return of the King,94000000,377845905,1120214046,72629713.0,Adventure,The Lord of the Rings: The Return of the King,Peter Jackson,"Elijah Wood, Viggo Mortensen, Ian McKellen, Orlando Bloom",$377.85M,Action
The Lord of the Rings: The Two Towers,94000000,342548984,919148764,62007528.0,Adventure,The Lord of the Rings: The Two Towers,Peter Jackson,"Elijah Wood, Ian McKellen, Viggo Mortensen, Orlando Bloom",$342.55M,Action
Lara Croft: Tomb Raider,94000000,131144183,273330185,47735743.0,Adventure,Lara Croft: Tomb Raider,Simon West,"Angelina Jolie, Jon Voight, Iain Glen, Noah Taylor",$131.14M,Action
Kingsman: The Secret Service,94000000,128261724,404561724,36206331.0,Action,Kingsman: The Secret Service,Matthew Vaughn,"Colin Firth, Taron Egerton, Samuel L. Jackson, Michael Caine",$128.26M,Action
The Lord of the Rings: The Fellowship of the Ring,93000000,315544750,891216824,47211490.0,Adventure,The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,"Elijah Wood, Ian McKellen, Orlando Bloom, Sean Bean",$315.54M,Action
Jurassic Park III,93000000,181166115,365900000,50771645.0,Action,Jurassic Park III,Joe Johnston,"Sam Neill, William H. Macy, Téa Leoni, Alessandro Nivola",$181.17M,Action
Rise of the Planet of the Apes,93000000,176760185,470986200,54806191.0,Adventure,Rise of the Planet of the Apes,Rupert Wyatt,"James Franco, Andy Serkis, Freida Pinto, Karin Konoval",$176.76M,Action
The Spiderwick Chronicles,92500000,71195053,162839667,19004058.0,Adventure,The Spiderwick Chronicles,Mark Waters,"Freddie Highmore, Sarah Bolger, David Strathairn, Mary-Louise Parker",$71.20M,Action
The Incredibles,92000000,261441092,631441092,70467623.0,Adventure,The Incredibles,Brad Bird,"Craig T. Nelson, Samuel L. Jackson, Holly Hunter, Jason Lee",$261.44M,Animation
A Good Day to Die Hard,92000000,67349198,304249198,24834845.0,Action,A Good Day to Die Hard,John Moore,"Bruce Willis, Jai Courtney, Sebastian Koch, Mary Elizabeth Winstead",$67.35M,Action
Cutthroat Island,92000000,10017322,18517322,2371415.0,Adventure,Cutthroat Island,Renny Harlin,"Geena Davis, Matthew Modine, Frank Langella, Maury Chaykin",$10.02M,Action
The Secret Life of Walter Mitty,91000000,58236838,187861183,12765508.0,Adventure,The Secret Life of Walter Mitty,Ben Stiller,"Ben Stiller, Kristen Wiig, Jon Daly, Kathryn Hahn",$58.24M,Adventure
